state_name,industry_name,YEAR,total_workers,median_wage,mean_wage,total_wage_bill
California,"Agriculture, Forestry, Fishing, and Hunting",2021,3207,25000,33497.54911131899,107426640
California,"Agriculture, Forestry, Fishing, and Hunting",2022,3288,28000,36885.27068126521,121278770
California,"Arts, Entertainment, and Recreation",2007,2593,20000,27425.298881604318,71113800
California,"Arts, Entertainment, and Recreation",2008,2754,20000,27472.225853304284,75658510
California,"Arts, Entertainment, and Recreation",2009,2709,20000,27787.253599114065,75275670
California,"Arts, Entertainment, and Recreation",2010,2744,20000,27689.81778425656,75980860
California,"Arts, Entertainment, and Recreation",2011,2792,20000,28184.283667621778,78690520
California,"Arts, Entertainment, and Recreation",2012,2836,20000,28855.65585331453,81834640
California,"Arts, Entertainment, and Recreation",2013,3017,20000,29802.485913158765,89914100
California,"Arts, Entertainment, and Recreation",2014,3058,20000,29309.502943100066,89628460
California,"Arts, Entertainment, and Recreation",2015,3118,20000,32444.451571520207,101161800
California,"Arts, Entertainment, and Recreation",2016,3266,20000,32322.323943661973,105564710
California,"Arts, Entertainment, and Recreation",2017,3356,22350,33755.45292014303,113283300
California,"Arts, Entertainment, and Recreation",2018,4934,21000,37625.062829347386,185642060
California,"Arts, Entertainment, and Recreation",2019,4930,24000,41673.47464503042,205450230
California,"Arts, Entertainment, and Recreation",2020,3548,26000,46873.08060879369,166305690
California,"Arts, Entertainment, and Recreation",2021,4007,24900,44760.890940853504,179356890
California,"Arts, Entertainment, and Recreation",2022,4862,27000,45970.36816125052,223507930
California,Construction,2007,11295,30000,40410.86799468791,456440754
California,Construction,2008,10361,30000,41472.63488080301,429697970
California,Construction,2009,9287,30000,41507.30892645634,385478378
California,Construction,2010,8516,30000,38810.51667449507,330510360
California,Construction,2011,8332,28000,37926.842294767164,316006450
California,Construction,2012,8589,29000,38759.16753987659,332902490
California,Construction,2013,8928,30000,39605.94690860215,353601894
California,Construction,2014,9232,31200,42068.844237435005,388379570
California,Construction,2015,9436,32000,42944.82619754133,405227380
California,Construction,2016,9464,35000,45722.20308537616,432714930
California,Construction,2017,10027,37000,49194.24952627905,493270740
California,Construction,2018,10442,40000,52635.26719019345,549617460
California,Construction,2019,10938,40000,54480.55586030353,595908320
California,Construction,2020,8210,41000,55613.806090133985,456589348
California,Construction,2021,10648,42250,55667.54921111946,592748064
California,Construction,2022,10919,45000,58711.012913270446,641065550
California,Educational Services,2007,14495,38600,42486.01517764747,615834790
California,Educational Services,2008,15402,39400,43972.104921438775,677258360
California,Educational Services,2009,14909,40000,44504.97283520021,663524640
California,Educational Services,2010,14822,40000,45262.5043853731,670880840
California,Educational Services,2011,14827,37000,43553.45181088555,645767030
California,Educational Services,2012,14635,38400,44329.14178339597,648756990
California,Educational Services,2013,15049,39000,44963.01747624427,676648450
California,Educational Services,2014,15536,39000,45364.30252317199,704779804
California,Educational Services,2015,16083,40000,47400.21762109059,762337700
California,Educational Services,2016,16055,40000,48842.63656181875,784168530
California,Educational Services,2017,16725,42000,50006.36173393124,836356400
California,Educational Services,2018,16610,43700,52364.5358217941,869774940
California,Educational Services,2019,17595,45000,53419.17362887184,939910360
California,Educational Services,2020,13509,48000,56171.300170256865,758818094
California,Educational Services,2021,16331,51000,58682.475659788135,958343510
California,Educational Services,2022,17110,50000,60566.16598480421,1036287100
California,Finance and Insurance,2007,7679,48000,71679.22906628468,550424800
California,Finance and Insurance,2008,7196,48400,71755.97554196775,516356000
California,Finance and Insurance,2009,6741,50000,71125.07550808485,479454134
California,Finance and Insurance,2010,6557,50000,70066.80799145951,459428060
California,Finance and Insurance,2011,6391,48000,71683.46581129714,458129030
California,Finance and Insurance,2012,6498,50000,75059.21822099107,487734800
California,Finance and Insurance,2013,6683,54000,82251.62801137214,549687630
California,Finance and Insurance,2014,6505,55000,82402.92851652575,536031050
California,Finance and Insurance,2015,6581,58000,85480.51208023097,562547250
California,Finance and Insurance,2016,6660,60000,92949.41441441441,619043100
California,Finance and Insurance,2017,6906,63000,94086.16275702287,649759040
California,Finance and Insurance,2018,6818,68000,98217.72660604282,669648460
California,Finance and Insurance,2019,7050,70000,102114.47943262411,719907080
California,Finance and Insurance,2020,5357,74000,108648.09221579242,582027830
California,Finance and Insurance,2021,6816,73000,109977.56015258215,749607050
California,Finance and Insurance,2022,6925,80000,119023.34584837545,824236670
California,Health Care and Social Assistance,2007,17600,33000,47985.37011363637,844542514
California,Health Care and Social Assistance,2008,18906,34000,48262.38834232519,912448714
California,Health Care and Social Assistance,2009,19327,34000,48794.28540383919,943047154
California,Health Care and Social Assistance,2010,19734,35000,50475.405898449375,996081660
California,Health Care and Social Assistance,2011,20015,35000,50647.04491631276,1013700604
California,Health Care and Social Assistance,2012,20422,33600,50831.33924199393,1038077610
California,Health Care and Social Assistance,2013,20928,35000,52628.18778669725,1101402714
California,Health Care and Social Assistance,2014,21139,35800,53274.389422394626,1126167318
California,Health Care and Social Assistance,2015,21643,36000,54412.01996026429,1177639348
California,Health Care and Social Assistance,2016,21800,38000,57942.81486238532,1263153364
California,Health Care and Social Assistance,2017,22416,40000,58539.039525339045,1312211110
California,Health Care and Social Assistance,2018,22681,40000,62171.30902517526,1410107460
California,Health Care and Social Assistance,2019,22884,42000,65289.64953679427,1494088340
California,Health Care and Social Assistance,2020,18069,44000,65909.79080192595,1190924010
California,Health Care and Social Assistance,2021,23308,45000,67611.0940449631,1575879380
California,Health Care and Social Assistance,2022,24181,49000,71954.475166453,1739931164
California,Information,2007,5109,51000,68056.38872577804,347700090
California,Information,2008,5111,54000,71062.98963020935,363202940
California,Information,2009,4548,55000,69489.23922603342,316037060
California,Information,2010,4415,52000,69085.17100792752,305011030
California,Information,2011,4274,52000,72776.3196069256,311045990
California,Information,2012,4447,55000,75392.48931864178,335270400
California,Information,2013,4858,60000,80264.84438040346,389926614
California,Information,2014,5243,61000,86372.260156399,452849760
California,Information,2015,5165,62000,89042.91771539206,459906670
California,Information,2016,5290,68000,94031.43856332703,497426310
California,Information,2017,5417,70000,100487.3287797674,544339860
California,Information,2018,5459,75000,110141.42516944495,601262040
California,Information,2019,5579,77000,113026.88653880624,630577000
California,Information,2020,4182,85000,126218.5581061693,527846010
California,Information,2021,5369,90000,138551.20767368225,743881434
California,Information,2022,5887,92000,141018.52216748768,830176040
California,Management of Companies and Enterprises,2007,200,56500,79422,15884400
California,Management of Companies and Enterprises,2008,102,54500,84001.56862745098,8568160
California,Management of Companies and Enterprises,2009,95,57000,74694.94736842105,7096020
California,Management of Companies and Enterprises,2010,90,50000,64097.77777777778,5768800
California,Management of Companies and Enterprises,2011,103,67000,99690.87378640777,10268160
California,Management of Companies and Enterprises,2012,105,67000,91680.95238095238,9626500
California,Management of Companies and Enterprises,2013,112,60000,91542.85714285714,10252800
California,Management of Companies and Enterprises,2014,125,55000,79138.4,9892300
California,Management of Companies and Enterprises,2015,117,65000,96376.92307692308,11276100
California,Management of Companies and Enterprises,2016,182,73500,95194.89010989011,17325470
California,Management of Companies and Enterprises,2017,207,70000,98675.84541062803,20425900
California,Management of Companies and Enterprises,2018,327,80000,107559.63302752294,35172000
California,Management of Companies and Enterprises,2019,276,85000,113009.42028985507,31190600
California,Management of Companies and Enterprises,2020,202,97000,126765.44554455446,25606620
California,Management of Companies and Enterprises,2021,195,73000,106992.30769230769,20863500
California,Management of Companies and Enterprises,2022,201,100000,133444.9751243781,26822440
California,Manufacturing,2007,16522,41000,58351.809103014166,964088590
California,Manufacturing,2008,17218,43050,61272.70414682309,1054993420
California,Manufacturing,2009,16241,45000,62204.19025922049,1010258254
California,Manufacturing,2010,16029,45000,62016.08771601472,994055870
California,Manufacturing,2011,16034,42000,61905.323687164775,992589960
California,Manufacturing,2012,16198,43000,63315.66921842203,1025587210
California,Manufacturing,2013,16590,45000,66596.08921036769,1104829120
California,Manufacturing,2014,16544,45000,64891.59272243714,1073566510
California,Manufacturing,2015,16491,45000,68890.42993147777,1136072080
California,Manufacturing,2016,16485,48000,70515.37336973006,1162445930
California,Manufacturing,2017,16539,50000,73016.63764435577,1207622170
California,Manufacturing,2018,16313,51000,77251.15858517747,1260198150
California,Manufacturing,2019,16261,55000,82225.43509009285,1337067800
California,Manufacturing,2020,12686,56000,83645.70865521047,1061129460
California,Manufacturing,2021,16284,60000,88213.55563743552,1436469540
California,Manufacturing,2022,16345,60000,91555.50565922301,1496474740
California,Military,2007,1309,35000,39245.24064171123,51372020
California,Military,2008,1389,33000,39957.45140388769,55500900
California,Military,2009,1444,35000,42072.35457063712,60752480
California,Military,2010,1188,35000,43463.42592592593,51634550
California,Military,2011,1576,27550,37230.58375634518,58675400
California,Military,2012,1458,30000,40100.720164609054,58466850
California,Military,2013,1458,30000,40301.16598079561,58759100
California,Military,2014,1415,28000,38504.52296819788,54483900
California,Military,2015,1355,27000,40067.85239852399,54291940
California,Military,2016,1418,25000,38901.57968970381,55162440
California,Military,2017,1422,27000,40776.371308016875,57984000
California,Military,2018,1529,30000,43127.096141268805,65941330
California,Military,2019,1487,31000,46098.661735036985,68548710
California,Military,2020,1487,25200,40565.480833893744,60320870
California,Military,2021,1526,32350,48377.857142857145,73824610
California,Military,2022,2224,26050,45147.828237410075,100408770
California,"Mining, Quarrying, and Oil and Gas Extraction",2007,233,56000,70344.20600858369,16390200
California,"Mining, Quarrying, and Oil and Gas Extraction",2008,306,55000,66127.64705882352,20235060
California,"Mining, Quarrying, and Oil and Gas Extraction",2009,271,60000,70664.9446494465,19150200
California,"Mining, Quarrying, and Oil and Gas Extraction",2010,244,60000,70320.4918032787,17158200
California,"Mining, Quarrying, and Oil and Gas Extraction",2011,304,58500,73440.13157894737,22325800
California,"Mining, Quarrying, and Oil and Gas Extraction",2012,295,60000,75365.08474576271,22232700
California,"Mining, Quarrying, and Oil and Gas Extraction",2013,314,64500,80342.67515923567,25227600
California,"Mining, Quarrying, and Oil and Gas Extraction",2014,310,70000,86817.70967741935,26913490
California,"Mining, Quarrying, and Oil and Gas Extraction",2015,294,70000,83734.55782312925,24617960
California,"Mining, Quarrying, and Oil and Gas Extraction",2016,241,66000,82427.38589211619,19865000
California,"Mining, Quarrying, and Oil and Gas Extraction",2017,208,70000,96549.51923076923,20082300
California,"Mining, Quarrying, and Oil and Gas Extraction",2018,246,65500,77344.30894308943,19026700
California,"Mining, Quarrying, and Oil and Gas Extraction",2019,228,75000,91171.49122807017,20787100
California,"Mining, Quarrying, and Oil and Gas Extraction",2020,154,75000,86448.7012987013,13313100
California,"Mining, Quarrying, and Oil and Gas Extraction",2021,160,75000,95433.875,15269420
California,"Mining, Quarrying, and Oil and Gas Extraction",2022,196,75500,97367.85714285714,19084100
California,"Other Services, Except Public Administration",2007,7686,15000,23453.86338797814,180266394
California,"Other Services, Except Public Administration",2008,7924,15700,24497.48864209995,194118100
California,"Other Services, Except Public Administration",2009,8057,15000,24013.620454263375,193477740
California,"Other Services, Except Public Administration",2010,8110,15000,24309.81627620222,197152610
California,"Other Services, Except Public Administration",2011,8455,14500,23440.51330573625,198189540
California,"Other Services, Except Public Administration",2012,8503,14500,24020.807950135248,204248930
California,"Other Services, Except Public Administration",2013,8589,15000,23930.08988240773,205535542
California,"Other Services, Except Public Administration",2014,8716,15400,25312.39329967875,220622820
California,"Other Services, Except Public Administration",2015,8703,16000,26696.739055498103,232341720
California,"Other Services, Except Public Administration",2016,9167,16000,27028.399476382678,247769338
California,"Other Services, Except Public Administration",2017,8994,18000,28848.85256837892,259466580
California,"Other Services, Except Public Administration",2018,9159,20000,30503.5516977836,279382030
California,"Other Services, Except Public Administration",2019,8874,20000,31960.52400270453,283617690
California,"Other Services, Except Public Administration",2020,6666,21000,32453.762376237624,216336780
California,"Other Services, Except Public Administration",2021,7870,21000,33053.14485387548,260128250
California,"Other Services, Except Public Administration",2022,8872,24000,34842.34332732191,309121270
California,"Professional, Scientific, and Technical Services",2007,12709,50000,68657.58234322134,872569214
California,"Professional, Scientific, and Technical Services",2008,12977,55000,72121.06187870848,935915020
California,"Professional, Scientific, and Technical Services",2009,12667,55000,71542.65366700877,906230794
California,"Professional, Scientific, and Technical Services",2010,12690,55000,71534.20803782505,907769100
California,"Professional, Scientific, and Technical Services",2011,12382,53000,72138.45937651429,893218404
California,"Professional, Scientific, and Technical Services",2012,12827,55000,74278.54291728385,952770870
California,"Professional, Scientific, and Technical Services",2013,13731,58000,77686.25795644891,1066710008
California,"Professional, Scientific, and Technical Services",2014,13865,60000,79585.54619545619,1103453598
California,"Professional, Scientific, and Technical Services",2015,14945,60000,81466.41017062563,1217515500
California,"Professional, Scientific, and Technical Services",2016,15764,65000,87876.72418167978,1385288680
California,"Professional, Scientific, and Technical Services",2017,16582,70000,91607.35918465807,1519033230
California,"Professional, Scientific, and Technical Services",2018,16840,70000,94841.99762470309,1597139240
California,"Professional, Scientific, and Technical Services",2019,18160,76000,102351.62169603525,1858705450
California,"Professional, Scientific, and Technical Services",2020,14283,80000,107055.08506616257,1529067780
California,"Professional, Scientific, and Technical Services",2021,18044,84000,111627.37087120372,2014204280
California,"Professional, Scientific, and Technical Services",2022,19252,89000,118137.15302306254,2274376470
California,Public Administration,2007,7439,57000,61774.68745799166,459541900
California,Public Administration,2008,7670,60000,64545.83833116037,495066580
California,Public Administration,2009,7584,60000,64023.87526371308,485557070
California,Public Administration,2010,7910,58000,62682.881668773705,495821594
California,Public Administration,2011,7617,60000,64206.131022712354,489058100
California,Public Administration,2012,7397,60000,65108.7846424226,481609680
California,Public Administration,2013,7511,60000,65855.51590999866,494640780
California,Public Administration,2014,7616,60000,66049.54306722688,503033320
California,Public Administration,2015,7818,60000,67014.7889485802,523921620
California,Public Administration,2016,7906,63000,69682.66126992158,550911120
California,Public Administration,2017,7976,65000,71262.58776328986,568390400
California,Public Administration,2018,8307,66000,73856.26218851571,613523970
California,Public Administration,2019,8553,69000,75047.30270080673,641879580
California,Public Administration,2020,6811,70000,77852.99221847013,530256730
California,Public Administration,2021,8454,70000,77766.46321268039,657437680
California,Public Administration,2022,8964,72000,80471.65662650602,721347930
California,Real Estate and Rental and Leasing,2007,544,30000,37667.555147058825,20491150
California,Real Estate and Rental and Leasing,2008,493,29000,39408.78296146045,19428530
California,Real Estate and Rental and Leasing,2009,488,30000,38876.434426229505,18971700
California,Real Estate and Rental and Leasing,2010,464,26000,39359.870689655174,18262980
California,Real Estate and Rental and Leasing,2011,422,30300,48849.97630331753,20614690
California,Real Estate and Rental and Leasing,2012,429,30000,44037.855477855475,18892240
California,Real Estate and Rental and Leasing,2013,406,30000,48056.724137931036,19511030
California,Real Estate and Rental and Leasing,2014,474,30000,48713.50210970464,23090200
California,Real Estate and Rental and Leasing,2015,518,34550,55037.54826254826,28509450
California,Real Estate and Rental and Leasing,2016,536,35000,59392.5447761194,31834404
California,Real Estate and Rental and Leasing,2017,519,36000,63593.19845857418,33004870
California,Real Estate and Rental and Leasing,2018,4214,36000,63660.25581395349,268264318
California,Real Estate and Rental and Leasing,2019,4108,40000,68079.39727361247,279670164
California,Real Estate and Rental and Leasing,2020,2864,40000,68293.57891061452,195592810
California,Real Estate and Rental and Leasing,2021,3581,40000,65178.93325886624,233405760
California,Real Estate and Rental and Leasing,2022,3882,45700,76832.41885625965,298263450
California,Retail Trade,2007,16329,20000,31682.608487966194,517345314
California,Retail Trade,2008,17026,20900,32179.22612475038,547883504
California,Retail Trade,2009,16148,20000,31575.503467921724,509881230
California,Retail Trade,2010,16654,20000,31282.66362435451,520981480
California,Retail Trade,2011,16590,20000,31369.659674502713,520422654
California,Retail Trade,2012,16809,20200,31897.61258849426,536166970
California,Retail Trade,2013,17226,20000,33017.20039475212,568754294
California,Retail Trade,2014,17012,20550,33860.76028685633,576039254
California,Retail Trade,2015,17265,21000,34659.03214596004,598388190
California,Retail Trade,2016,17654,22000,35670.78169253427,629731980
California,Retail Trade,2017,17305,24000,36864.43051141289,637938970
California,Retail Trade,2018,17745,25000,38690.253817976896,686558554
California,Retail Trade,2019,17485,25300,42356.65656276809,740606140
California,Retail Trade,2020,13086,26000,41492.579397829744,542971894
California,Retail Trade,2021,17198,28500,43880.02895685545,754648738
California,Retail Trade,2022,18118,30000,46936.38447952313,850393414
California,Transportation and Warehousing,2007,6129,38800,42443.58459781367,260136730
California,Transportation and Warehousing,2008,6265,38400,43858.38946528332,274772810
California,Transportation and Warehousing,2009,5848,38000,43256.72879616963,252965350
California,Transportation and Warehousing,2010,5734,36000,41411.03662364841,237450884
California,Transportation and Warehousing,2011,5783,35000,41589.970603493,240514800
California,Transportation and Warehousing,2012,5813,37000,42646.56287631171,247904470
California,Transportation and Warehousing,2013,5919,37800,43313.478628146644,256372480
California,Transportation and Warehousing,2014,6278,36000,44274.227460974835,277953600
California,Transportation and Warehousing,2015,6769,35000,43456.85034717093,294159420
California,Transportation and Warehousing,2016,7070,35000,44237.585572842996,312759730
California,Transportation and Warehousing,2017,7655,35000,45019.19007184847,344621900
California,Transportation and Warehousing,2018,8046,35000,45121.293810589115,363045930
California,Transportation and Warehousing,2019,8273,36300,48498.94838631694,401231800
California,Transportation and Warehousing,2020,6345,36000,47871.94011032309,303747460
California,Transportation and Warehousing,2021,8537,36000,48243.13693334895,411851660
California,Transportation and Warehousing,2022,8763,39000,50805.09985164898,445205090
California,Unknown,2007,4999,23100,44174.708941788354,220829370
California,Unknown,2008,4810,25000,44356.64864864865,213355480
California,Unknown,2009,4631,24000,42315.9317641978,195965080
California,Unknown,2010,4437,22900,41654.730673878745,184822040
California,Unknown,2011,4294,23000,40674.82999534234,174657720
California,Unknown,2012,4416,24000,41570.01358695652,183573180
California,Unknown,2013,4462,25000,44688.00537875392,199397880
California,Unknown,2014,4676,26200,49328.77673224979,230661360
California,Unknown,2015,4822,28000,50501.90584819577,243520190
California,Unknown,2016,5014,28000,50527.07219784603,253342740
California,Unknown,2017,5006,30000,53886.47423092289,269755690
California,Utilities,2007,1276,69000,72729.53761755486,92802890
California,Utilities,2008,1283,70000,75670.24941543258,97084930
California,Utilities,2009,1368,73000,77936.11111111111,106616600
California,Utilities,2010,1330,75000,78683.72180451128,104649350
California,Utilities,2011,1258,75000,78123.78378378379,98279720
California,Utilities,2012,1276,77000,82286.83385579937,104998000
California,Utilities,2013,1400,80000,84538.74285714286,118354240
California,Utilities,2014,1345,80000,84988.51301115242,114309550
California,Utilities,2015,1346,80500,89096.87964338782,119924400
California,Utilities,2016,1407,85000,93411.84790334044,131430470
California,Utilities,2017,1403,86000,94208.90947968638,132175100
California,Utilities,2018,1277,90000,93405.87314017228,119279300
California,Utilities,2019,1395,95000,102348.71684587814,142776460
California,Utilities,2020,1143,96000,104505.16185476816,119449400
California,Utilities,2021,1403,100000,105652.19529579472,148230030
California,Utilities,2022,1434,100000,110668.29846582985,158698340
California,Wholesale Trade,2007,5409,36700,53273.12627102977,288154340
California,Wholesale Trade,2008,5264,37000,52149.15463525836,274513150
California,Wholesale Trade,2009,5194,38000,52063.921832884094,270420010
California,Wholesale Trade,2010,5162,35000,50190.534676481984,259083540
California,Wholesale Trade,2011,5040,35000,51133.07142857143,257710680
California,Wholesale Trade,2012,4783,36000,50660.77984528538,242310510
California,Wholesale Trade,2013,5107,36000,52866.776972782456,269990630
California,Wholesale Trade,2014,5233,38000,56291.73858207529,294574668
California,Wholesale Trade,2015,5057,40000,57465.090765275854,290600964
California,Wholesale Trade,2016,5094,40000,59994.59952885748,305612490
California,Wholesale Trade,2017,4832,41250,61925.91680463576,299226030
California,Wholesale Trade,2018,4901,43000,63218.49214446032,309833830
California,Wholesale Trade,2019,4971,46000,68754.48601890968,341778550
California,Wholesale Trade,2020,3568,46000,67599.44786995515,241194830
California,Wholesale Trade,2021,4475,46000,66093.62905027933,295768990
California,Wholesale Trade,2022,4341,50000,72458.88965676111,314544040
Michigan,Accommodation and Food Services,2007,2799,8800,14044.869596284387,39311590
Michigan,Accommodation and Food Services,2008,2802,9600,13908.518915060671,38971670
Michigan,Accommodation and Food Services,2009,2724,9200,13839.809104258444,37699640
Michigan,Accommodation and Food Services,2010,2719,10000,14444.902537697682,39275690
Michigan,Accommodation and Food Services,2011,2729,10000,13746.394283620373,37513910
Michigan,Accommodation and Food Services,2012,2754,9200,14073.373275236021,38758070
Michigan,Accommodation and Food Services,2013,2798,10000,14655.232308791994,41005340
Michigan,Accommodation and Food Services,2014,2831,10100,15326.789120452137,43390140
Michigan,Accommodation and Food Services,2015,2983,10100,15556.69125041904,46405610
Michigan,Accommodation and Food Services,2016,2981,11700,16594.417980543443,49467960
Michigan,Accommodation and Food Services,2017,2986,12000,18045.770261219022,53884670
Michigan,Accommodation and Food Services,2018,2997,13000,18769.27927927928,56251530
Michigan,Accommodation and Food Services,2019,3093,12000,19638.570966698997,60742100
Michigan,Accommodation and Food Services,2020,2614,12350,19426.06350420811,50779730
Michigan,Accommodation and Food Services,2021,2552,12000,19824.294670846393,50591600
Michigan,Accommodation and Food Services,2022,2799,13000,21106.232225794927,59076344
Michigan,Administrative and Support and Waste Management Services,2007,1403,18000,26112.665716322168,36636070
Michigan,Administrative and Support and Waste Management Services,2008,1515,19800,27451.511551155116,41589040
Michigan,Administrative and Support and Waste Management Services,2009,1407,19000,25024.15067519545,35208980
Michigan,Administrative and Support and Waste Management Services,2010,1344,17000,25559.54613095238,34352030
Michigan,Administrative and Support and Waste Management Services,2011,1445,17700,24770.80276816609,35793810
Michigan,Administrative and Support and Waste Management Services,2012,1399,17600,27091.122230164405,37900480
Michigan,Administrative and Support and Waste Management Services,2013,1625,18000,26092.867692307693,42400910
Michigan,Administrative and Support and Waste Management Services,2014,1502,19000,26994.54727030626,40545810
Michigan,Administrative and Support and Waste Management Services,2015,1597,20000,29208.88541014402,46646590
Michigan,Administrative and Support and Waste Management Services,2016,1596,21050,31401.986215538847,50117570
Michigan,Administrative and Support and Waste Management Services,2017,1530,20800,31583.470588235294,48322710
Michigan,Administrative and Support and Waste Management Services,2018,1538,24000,33176.64499349805,51025680
Michigan,Administrative and Support and Waste Management Services,2019,1594,25000,32399.54454203262,51644874
Michigan,Administrative and Support and Waste Management Services,2020,1400,25600,33436.94571428571,46811724
Michigan,Administrative and Support and Waste Management Services,2021,1481,29500,38377.859554355164,56837610
Michigan,Administrative and Support and Waste Management Services,2022,1540,30000,36739.320779220776,56578554
Michigan,"Agriculture, Forestry, Fishing, and Hunting",2007,735,9000,18876.27210884354,13874060
Michigan,"Agriculture, Forestry, Fishing, and Hunting",2008,712,8950,17597.58988764045,12529484
Michigan,"Agriculture, Forestry, Fishing, and Hunting",2009,779,11500,19035.037227214376,14828294
Michigan,"Agriculture, Forestry, Fishing, and Hunting",2010,739,12000,20062.665764546684,14826310
Michigan,"Agriculture, Forestry, Fishing, and Hunting",2011,708,12050,20131.4406779661,14253060
Michigan,"Agriculture, Forestry, Fishing, and Hunting",2012,704,15000,21798.821022727272,15346370
Michigan,"Agriculture, Forestry, Fishing, and Hunting",2013,697,14200,23441.6068866571,16338800
Michigan,"Agriculture, Forestry, Fishing, and Hunting",2014,714,12800,22526.70868347339,16084070
Michigan,"Agriculture, Forestry, Fishing, and Hunting",2015,688,15650,24296.58430232558,16716050
Michigan,"Agriculture, Forestry, Fishing, and Hunting",2016,678,15000,23680.250737463128,16055210
Michigan,"Agriculture, Forestry, Fishing, and Hunting",2017,671,18000,26912.503725782415,18058290
Michigan,"Agriculture, Forestry, Fishing, and Hunting",2018,665,17500,26849.27819548872,17854770
Michigan,"Agriculture, Forestry, Fishing, and Hunting",2019,757,18000,26588.996036988112,20127870
Michigan,"Agriculture, Forestry, Fishing, and Hunting",2020,641,20000,29115.538221528863,18663060
Michigan,"Agriculture, Forestry, Fishing, and Hunting",2021,678,25000,28575.10324483776,19373920
Michigan,"Agriculture, Forestry, Fishing, and Hunting",2022,739,25000,31798.95805142084,23499430
Michigan,"Arts, Entertainment, and Recreation",2007,685,12800,20048.10218978102,13732950
Michigan,"Arts, Entertainment, and Recreation",2008,670,15000,21000.731343283584,14070490
Michigan,"Arts, Entertainment, and Recreation",2009,689,15000,21555.529753265604,14851760
