Value Added by Industry
Value Added by Industry
"Last Revised on: September 26, 2024"
Line,,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
23,"            Furniture and related products",34.5,32.5,27.9,22.8,21.8,22.0,22.4,23.9,25.4,28.4,29.3,28.9,29.9,30.4,29.5,30.0,32.3,32.3
24,"            Miscellaneous manufacturing",70.4,72.2,75.6,81.3,83.2,80.5,81.4,79.9,80.3,79.3,84.0,86.6,91.6,91.4,92.0,98.2,106.1,116.9
25,"        Nondurable goods",789.3,814.7,801.8,820.5,834.3,855.7,869.4,886.8,903.6,926.7,895.4,931.4,1029.3,1006.2,949.3,1125.3,1284.8,1328.5
26,"            Food and beverage and tobacco products",193.8,194.2,199.3,237.7,223.5,209.8,220.1,230.0,241.7,266.7,270.8,275.3,270.4,272.8,289.2,306.7,296.8,335.2
27,"            Textile mills and textile product mills",20.1,19.3,17.8,15.1,15.6,15.1,16.0,16.7,17.7,17.7,18.2,17.3,16.6,16.7,15.9,17.0,17.4,17.0
28,"            Apparel and leather and allied products",12.9,11.8,11.6,9.9,10.4,10.1,10.0,10.2,9.9,9.7,9.6,9.4,9.3,9.6,9.5,10.8,12.3,12.4
29,"            Paper products",58.0,55.7,51.4,59.2,56.4,53.8,53.2,56.6,57.0,60.0,58.7,55.9,60.2,62.7,65.0,64.6,70.3,74.7
30,"            Printing and related support activities",46.8,47.7,45.2,39.6,39.5,38.8,38.4,39.1,39.2,40.4,41.4,40.6,41.5,41.5,36.5,38.9,41.6,42.9
31,"            Petroleum and coal products",140.0,154.7,154.8,110.6,123.8,159.1,159.1,146.6,147.8,131.4,76.0,110.7,154.2,143.4,60.5,143.2,230.3,216.8
32,"            Chemical products",253.8,267.9,265.7,288.0,303.3,306.0,305.0,318.7,323.5,323.3,341.8,345.1,396.2,374.8,392.5,461.3,521.5,531.8
33,"            Plastics and rubber products",64.0,63.3,56.1,60.4,61.8,63.1,67.7,69.0,66.9,77.5,78.8,77.2,80.8,84.8,80.3,82.9,94.7,97.7
34,"    Wholesale trade",809.5,856.2,882.8,832.1,887.6,934.8,997.8,1042.7,1092.1,1148.6,1142.9,1176.1,1222.1,1296.8,1301.8,1415.1,1595.5,1653.0
35,"    Retail trade",869.8,869.4,851.4,832.3,863.5,883.6,923.4,979.7,1018.2,1081.2,1133.2,1178.9,1223.6,1277.6,1333.1,1535.2,1628.9,1772.4
36,"        Motor vehicle and parts dealers",160.5,162.8,144.8,125.8,143.0,150.5,163.3,181.7,194.3,209.4,223.9,235.8,243.3,257.5,255.3,317.0,340.4,361.7
37,"        Food and beverage stores",125.9,124.1,128.5,131.4,133.0,131.8,133.8,139.6,143.6,151.7,156.2,162.1,164.1,168.7,191.2,197.3,209.9,231.7
38,"        General merchandise stores",123.9,124.6,128.5,133.4,133.0,134.8,134.2,134.0,138.7,144.2,147.0,152.1,155.0,159.9,162.2,183.1,195.0,203.2
39,"        Other retail",459.6,457.9,449.6,441.6,454.6,466.5,492.1,524.4,541.6,575.9,606.1,629.0,661.2,691.4,724.4,837.7,883.6,975.8
40,"    Transportation and warehousing",410.3,414.0,427.0,404.4,433.5,452.5,473.3,497.4,533.6,583.9,603.0,635.5,677.3,710.0,638.7,775.4,916.3,943.7
41,"        Air transportation",68.0,73.2,68.7,71.6,84.3,84.8,88.1,93.6,101.6,116.0,125.0,128.7,131.1,140.2,63.8,96.0,146.7,166.6
42,"        Rail transportation",32.1,32.4,37.3,32.9,33.8,36.6,39.7,41.6,45.2,46.2,42.3,44.3,46.6,46.2,41.8,45.2,52.0,53.1
43,"        Water transportation",12.7,14.2,16.4,15.6,14.7,14.1,13.2,16.8,16.8,16.7,14.3,14.0,15.7,15.5,12.8,19.5,22.6,24.5
44,"        Truck transportation",125.5,123.7,120.5,109.5,113.5,122.0,128.4,134.5,148.6,161.5,164.9,178.0,191.4,197.4,196.6,230.4,259.2,256.6
45,"        Transit and ground passenger transportation",25.9,26.3,28.1,29.4,31.4,34.2,36.5,37.7,40.0,41.3,41.4,43.4,46.0,54.3,40.7,46.9,57.0,68.9
46,"        Pipeline transportation",10.7,13.0,16.3,14.6,20.2,21.6,25.3,27.0,30.2,36.8,39.2,41.0,44.0,38.9,38.5,41.8,45.0,48.7
47,"        Other transportation and support activities",94.6,89.9,94.4,85.6,90.5,94.0,94.9,99.1,103.8,114.4,119.1,125.0,133.7,144.0,162.9,195.6,218.3,207.6
48,"        Warehousing and storage",40.8,41.3,45.3,45.1,45.2,45.2,47.2,47.0,47.2,51.1,56.9,61.1,68.6,73.4,81.6,100.2,115.5,117.8
49,"    Information",651.9,707.5,743.8,721.4,754.9,763.0,762.7,835.5,848.8,913.1,974.9,1010.0,1041.5,1142.6,1181.3,1310.4,1367.5,1477.9
50,"        Publishing industries, except internet (includes software)",157.3,184.6,181.6,170.6,178.7,185.0,189.8,196.1,203.8,209.0,219.9,236.0,246.7,278.4,303.1,351.3,357.6,401.5
51,"        Motion picture and sound recording industries",67.5,76.5,79.8,82.2,91.3,85.1,82.8,83.8,83.7,89.8,96.8,97.7,93.6,88.5,75.8,92.6,113.6,114.0
52,"        Broadcasting and telecommunications",340.3,374.0,391.9,374.6,375.5,367.8,372.3,409.5,400.7,436.0,459.7,462.1,474.7,501.6,487.1,498.0,484.2,493.0
53,"        Data processing, internet publishing, and other information services",86.9,72.4,90.5,94.0,109.5,125.0,117.7,146.1,160.6,178.4,198.4,214.2,226.5,274.1,315.3,368.5,412.1,469.4
54,"    Finance, insurance, real estate, rental, and leasing",2745.2,2865.6,2816.1,2903.1,2990.4,3080.8,3289.2,3368.7,3569.9,3728.6,3894.7,4033.0,4258.2,4458.1,4628.8,5003.6,5417.5,5811.6
55,"        Finance and insurance",1048.3,1029.6,871.3,967.0,993.2,1022.5,1169.4,1153.5,1295.7,1390.6,1474.9,1508.0,1574.8,1652.3,1718.2,1859.0,1935.6,2015.6
56,"            Federal Reserve banks, credit intermediation, and related activities",429.5,406.8,415.4,409.0,419.5,461.5,519.7,510.0,562.6,585.4,622.2,648.9,686.6,740.1,772.8,842.1,878.5,913.4
57,"            Securities, commodity contracts, and investments",227.1,206.3,99.9,190.4,196.7,173.4,232.8,246.7,228.1,231.3,258.3,283.4,291.7,279.0,310.0,358.0,350.5,362.2
58,"            Insurance carriers and related activities",372.5,406.0,349.4,365.7,373.4,385.4,406.9,388.3,493.3,565.5,586.9,568.9,595.6,631.4,634.3,637.4,686.8,721.1
59,"            Funds, trusts, and other financial vehicles",19.2,10.5,6.5,1.9,3.6,2.1,10.0,8.5,11.6,8.3,7.4,6.8,1.0,1.8,1.1,21.5,19.8,18.8
60,"        Real estate and rental and leasing",1696.9,1836.0,1944.9,1936.2,1997.2,2058.3,2119.7,2215.2,2274.2,2338.0,2419.9,2525.0,2683.4,2805.9,2910.6,3144.7,3481.9,3796.0
61,"            Real estate",1528.9,1671.7,1766.2,1773.3,1836.9,1894.9,1946.0,2034.3,2088.6,2140.7,2212.2,2312.8,2455.8,2563.7,2665.6,2864.6,3167.0,3447.1
62,"                Housing",1277.5,1346.9,1450.5,1468.7,1495.9,1523.9,1546.2,1588.2,1628.2,1672.3,1729.8,1795.3,1876.2,1971.4,2060.7,2177.3,2414.2,2640.9
63,"                Other real estate",251.4,324.9,315.7,304.5,341.0,371.0,399.8,446.1,460.4,468.4,482.4,517.4,579.6,592.3,604.9,687.2,752.8,806.3
64,"            Rental and leasing services and lessors of intangible assets",168.0,164.3,178.6,162.9,160.3,163.3,173.8,180.9,185.6,197.4,207.6,212.3,227.6,242.1,245.0,280.1,314.9,348.9
65,"    Professional and business services",1546.5,1667.3,1777.9,1688.1,1768.5,1860.0,1968.9,2021.2,2120.1,2237.0,2305.0,2433.6,2589.1,2728.9,2726.1,3064.2,3381.0,3611.7
66,"        Professional, scientific, and technical services",917.0,985.4,1082.8,1030.9,1065.1,1127.2,1191.8,1211.7,1269.5,1349.7,1396.5,1460.6,1562.1,1653.1,1673.3,1882.4,2060.7,2222.0
67,"            Legal services",204.6,217.6,240.8,212.1,204.7,216.1,217.5,220.6,228.3,242.8,258.0,266.4,277.1,290.1,288.5,326.5,348.8,362.7
68,"            Computer systems design and related services",149.0,167.1,181.4,188.9,202.9,224.8,252.7,256.1,267.5,286.7,307.6,326.4,358.5,378.6,393.4,435.4,463.9,489.2
69,"            Miscellaneous professional, scientific, and technical services",563.5,600.7,660.6,629.9,657.5,686.2,721.6,735.0,773.8,820.2,830.9,867.8,926.4,984.3,991.5,1120.5,1248.0,1370.0
70,"        Management of companies and enterprises",230.4,251.1,256.4,245.0,265.3,277.9,302.1,319.4,332.2,347.0,349.2,370.1,388.3,405.6,403.9,442.1,482.6,503.1
71,"        Administrative and waste management services",399.1,430.8,438.8,412.3,438.0,455.0,474.9,490.1,518.3,540.3,559.2,602.9,638.7,670.2,648.9,739.7,837.7,886.6
72,"            Administrative and support services",367.4,395.3,401.8,373.8,390.2,412.4,432.1,446.9,472.4,492.8,511.7,549.7,581.7,611.3,588.1,671.6,763.7,804.5
73,"            Waste management and remediation services",31.7,35.5,36.9,38.4,47.8,42.5,42.8,43.2,46.0,47.5,47.5,53.2,57.0,58.9,60.9,68.1,74.0,82.1
74,"    Educational services, health care, and social assistance",1035.3,1088.0,1185.0,1267.0,1311.3,1356.2,1409.3,1450.0,1495.0,1574.9,1657.0,1716.9,1792.0,1884.2,1870.0,2004.2,2151.4,2350.9
75,"        Educational services",142.9,151.5,167.8,188.2,199.0,206.3,214.2,217.0,224.8,231.3,243.2,245.6,257.2,270.3,255.5,270.0,292.0,312.0
76,"        Health care and social assistance",892.4,936.5,1017.2,1078.8,1112.3,1149.9,1195.1,1233.0,1270.2,1343.6,1413.8,1471.3,1534.7,1613.9,1614.6,1734.2,1859.4,2038.9
77,"            Ambulatory health care services",423.1,442.5,481.1,507.2,532.0,555.8,574.6,594.1,610.9,642.8,680.4,709.7,739.6,783.4,762.2,847.8,906.2,1000.5
78,"            Hospitals",294.7,310.7,339.9,367.4,369.9,382.3,398.5,407.7,419.7,449.1,468.2,486.2,505.4,525.0,538.4,566.2,595.1,643.8
79,"            Nursing and residential care facilities",97.7,102.5,110.5,116.4,120.7,123.2,126.0,129.2,132.8,138.2,143.8,147.4,153.6,158.6,164.6,163.6,179.8,196.5
80,"            Social assistance",76.9,80.8,85.7,87.7,89.7,88.7,96.0,101.9,106.8,113.4,121.3,128.2,136.1,146.9,149.5,156.6,178.3,198.0
81,"    Arts, entertainment, recreation, accommodation, and food services",511.4,533.6,542.9,533.0,556.2,581.9,622.7,653.1,692.5,748.8,791.8,831.2,874.6,922.2,693.4,906.7,1067.9,1211.5
82,"        Arts, entertainment, and recreation",130.4,137.4,143.2,144.5,152.4,158.7,171.8,177.2,187.9,191.4,203.9,213.8,227.2,237.1,170.9,214.2,264.2,299.7
83,"            Performing arts, spectator sports, museums, and related activities",73.5,75.6,81.5,84.8,87.9,93.0,101.8,104.2,111.6,111.5,120.0,126.8,135.8,140.5,100.2,118.1,149.3,171.2
84,"            Amusements, gambling, and recreation industries",57.0,61.8,61.7,59.7,64.6,65.7,70.0,73.0,76.3,79.9,83.9,87.0,91.4,96.6,70.7,96.2,114.9,128.5
85,"        Accommodation and food services",381.0,396.2,399.6,388.5,403.8,423.2,451.0,475.9,504.5,557.5,587.9,617.4,647.4,685.0,522.6,692.5,803.7,911.8
86,"            Accommodation",115.9,124.5,123.5,107.3,112.1,122.0,128.9,138.3,145.8,162.6,166.6,176.3,185.7,194.9,126.5,175.5,217.9,245.6
87,"            Food services and drinking places",265.1,271.7,276.2,281.1,291.7,301.2,322.1,337.6,358.8,394.9,421.3,441.1,461.6,490.2,396.1,517.0,585.8,666.2
88,"    Other services, except government",325.0,330.6,330.3,326.4,328.2,333.5,348.6,360.5,384.7,403.5,415.9,433.2,457.7,477.9,450.6,484.8,549.3,589.4
89,Government,1793.1,1888.4,1983.1,2046.6,2109.5,2138.6,2161.3,2215.2,2275.6,2344.0,2391.9,2455.8,2558.8,2630.2,2712.4,2810.0,2938.6,3105.1
90,"    Federal",576.6,603.2,633.7,664.8,699.0,713.8,715.7,706.3,719.3,734.5,748.1,766.5,796.8,817.4,859.7,900.1,944.9,998.8
91,"        General government",509.9,535.7,569.1,603.0,640.0,659.8,663.7,658.6,667.9,674.6,686.8,702.1,729.7,751.7,787.4,825.9,871.4,929.7
92,"            National defense",315.1,331.1,352.6,372.7,393.5,407.1,407.6,400.2,400.7,399.0,400.6,405.6,420.1,432.3,450.9,473.7,497.5,524.1
93,"            Nondefense",194.8,204.6,216.4,230.3,246.5,252.6,256.1,258.4,267.2,275.6,286.2,296.5,309.6,319.5,336.5,352.2,373.9,405.6
94,"        Government enterprises",66.8,67.4,64.6,61.8,59.0,54.1,52.0,47.7,51.4,59.9,61.3,64.3,67.1,65.6,72.3,74.1,73.5,69.1
95,"    State and local",1216.4,1285.2,1349.4,1381.7,1410.5,1424.8,1445.6,1508.9,1556.3,1609.5,1643.8,1689.4,1762.0,1812.8,1852.7,1909.9,1993.7,2106.3
96,"        General government",1122.1,1191.2,1252.1,1280.5,1306.1,1313.1,1325.5,1381.1,1421.8,1468.5,1501.1,1544.9,1611.0,1661.7,1711.3,1768.9,1841.3,1945.3
97,"        Government enterprises",94.4,94.0,97.3,101.2,104.4,111.7,120.1,127.8,134.5,140.9,142.7,144.5,150.9,151.1,141.5,141.0,152.4,161.0
98,"            Private goods-producing industries1",2890.8,3021.9,2987.9,2666.0,2766.2,2926.4,3016.2,3169.3,3278.3,3230.9,3191.3,3394.1,3641.5,3680.0,3472.1,3981.0,4549.4,4746.9
99,"            Private services-producing industries2",9131.6,9564.0,9798.9,9765.5,10173.3,10534.8,11076.5,11496.3,12054.2,12720.1,13221.7,13762.2,14456.3,15229.8,15169.6,16890.3,18519.0,19868.7
100,"            Information-communications-technology-producing industries3",797.8,855.6,906.3,887.7,934.3,973.9,985.9,1064.8,1094.8,1178.3,1249.7,1309.3,1380.1,1505.4,1581.7,1743.2,1812.2,1950.7

Legend/Footnotes
"1. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing."
"2. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government."
"3. Consists of computer and electronic product manufacturing (excluding navigational, measuring, electromedical, and control instruments manufacturing); software publishers; broadcasting and telecommunications; data processing, hosting and related services; internet publishing and broadcasting and web search portals; and computer systems design and related services."
Note. Detail may not add to total due to rounding.
