industry_name,YEAR,value_added
"Professional, Scientific, and Technical Services",2021,1882400
"Professional, Scientific, and Technical Services",2022,2060699.9999999998
"Professional, Scientific, and Technical Services",2023,2222000
Real Estate and Rental and Leasing,2006,1696900
Real Estate and Rental and Leasing,2007,1836000
Real Estate and Rental and Leasing,2008,1944900
Real Estate and Rental and Leasing,2009,1936200
Real Estate and Rental and Leasing,2010,1997200
Real Estate and Rental and Leasing,2011,2058300.0000000002
Real Estate and Rental and Leasing,2012,2119700
Real Estate and Rental and Leasing,2013,2215200
Real Estate and Rental and Leasing,2014,2274200
Real Estate and Rental and Leasing,2015,2338000
Real Estate and Rental and Leasing,2016,2419900
Real Estate and Rental and Leasing,2017,2525000
Real Estate and Rental and Leasing,2018,2683400
Real Estate and Rental and Leasing,2019,2805900
Real Estate and Rental and Leasing,2020,2910600
Real Estate and Rental and Leasing,2021,3144700
Real Estate and Rental and Leasing,2022,3481900
Real Estate and Rental and Leasing,2023,3796000
Retail Trade,2006,869800
Retail Trade,2007,869400
Retail Trade,2008,851400
Retail Trade,2009,832300
Retail Trade,2010,863500
Retail Trade,2011,883600
Retail Trade,2012,923400
Retail Trade,2013,979700
Retail Trade,2014,1018200
Retail Trade,2015,1081200
Retail Trade,2016,1133200
Retail Trade,2017,1178900
Retail Trade,2018,1223600
Retail Trade,2019,1277600
Retail Trade,2020,1333100
Retail Trade,2021,1535200
Retail Trade,2022,1628900
Retail Trade,2023,1772400
Transportation and Warehousing,2006,410300
Transportation and Warehousing,2007,414000
Transportation and Warehousing,2008,427000
Transportation and Warehousing,2009,404400
Transportation and Warehousing,2010,433500
Transportation and Warehousing,2011,452500
Transportation and Warehousing,2012,473300
Transportation and Warehousing,2013,497400
Transportation and Warehousing,2014,533600
Transportation and Warehousing,2015,583900
Transportation and Warehousing,2016,603000
Transportation and Warehousing,2017,635500
Transportation and Warehousing,2018,677300
Transportation and Warehousing,2019,710000
Transportation and Warehousing,2020,638700
Transportation and Warehousing,2021,775400
Transportation and Warehousing,2022,916300
Transportation and Warehousing,2023,943700
Utilities,2006,226700
Utilities,2007,231900
Utilities,2008,241700
Utilities,2009,257800
Utilities,2010,279100
Utilities,2011,288300
Utilities,2012,280700
Utilities,2013,287600
Utilities,2014,299300
Utilities,2015,300500
Utilities,2016,303400
Utilities,2017,313700
Utilities,2018,320400
Utilities,2019,331600
Utilities,2020,345700
Utilities,2021,390800
Utilities,2022,443600
Utilities,2023,446500
Wholesale Trade,2006,809500
Wholesale Trade,2007,856200
Wholesale Trade,2008,882800
Wholesale Trade,2009,832100
Wholesale Trade,2010,887600
Wholesale Trade,2011,934800
Wholesale Trade,2012,997800
Wholesale Trade,2013,1042700
Wholesale Trade,2014,1092100
Wholesale Trade,2015,1148600
Wholesale Trade,2016,1142900
Wholesale Trade,2017,1176100
Wholesale Trade,2018,1222100
Wholesale Trade,2019,1296800
Wholesale Trade,2020,1301800
Wholesale Trade,2021,1415100
Wholesale Trade,2022,1595500
Wholesale Trade,2023,1653000
